Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals,
1923,64.5726112,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1924,64.5727432,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1925,64.6724812,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1926,64.67261125,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1927,64.67274335,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1928,64.77248135,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1929,64.7726114,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1930,64.7727434,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1931,64.8724815,0.0997381,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1932,64.8726116,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1933,64.8727436,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1934,64.9724816,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1935,64.97261165,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1936,64.97274365,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1937,65.07248415,0.0997405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1938,65.07261375,0.0001296,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1939,65.07274575,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1940,65.1724862,0.09974045,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1941,65.1726163,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1942,65.1727483,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1943,65.2724864,0.0997381,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1944,65.27261645,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1945,65.27274845,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1946,65.37248645,0.099738,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1947,65.37261655,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1948,65.37274855,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1949,65.47248855,0.09974,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1950,65.4726186,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1951,65.4727506,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1952,65.5724867,0.0997361,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1953,65.5726168,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1954,65.57274885,0.00013205,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1955,65.6724888,0.09973995,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1956,65.67261885,0.00013005,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1957,65.67275095,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1958,65.772485,0.09973405,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1959,65.7726151,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1960,65.7727471,0.000132,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1961,65.872489,0.0997419,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1962,65.8726191,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
1963,65.8727512,0.0001321,67108864,F,F,Bench_F,Simformation,dSpace,C6,F,F,88,13,,,,,,,,,MPHSpeed,50
1964,65.9724911,0.0997399,67108864,F,F,Bench_A,Simformation,dSpace,C1,F,F,C4,9,,,,,,,,,MPHSpeed,25
1965,65.9726212,0.0001301,67108864,F,F,Bench_C,Simformation,dSpace,C3,F,F,AC,0D,,,,,,,,,MPHSpeed,35
